"","site","month","grass_PC1","grass_PC_tm1","browser_100m2","patty_100m2","PD_1m2","browser_minusLastMo","patty_minusLastMo","PD_minusLastMo","browser_lastMo","patty_lastMo","PD_lastMo","wing.mean","wing.se","thorax.mean","thorax.se","head.mean","head.se","forearm.mean","forearm.se","body.mean","body.se","trt","spp","trtbison","trtcattle","trttrtpd","trtungrazed","trtuntrtpd","Temp48hr","Temp20day","Temp60day"
"20","bison_3",6,-0.61173233,NA,0.375,10.875,NA,NA,NA,NA,NA,NA,NA,7.08750000,0.08108143,5.03525000,0.07189913,3.82350000,0.05485710,3.83675000,0.06141639,15.94625000, 0.20178202,"bison","Canthon_pilularius",1,0,0,0,0,22.21608,NA,NA
"21","bison_3",7,-0.89345403,-0.61173233,0.250,11.375,NA,-0.125, 0.500,NA,0.375,10.875,NA,2.99580645,0.04656080,2.94258065,0.04903360,1.68774194,0.02684768,1.74000000,0.03158535, 7.62612903, 0.11283319,"bison","Onthophagus_nuchicornis_female",1,0,0,0,0,27.67875,23.50024,NA
"22","bison_3",7,-0.89345403,-0.61173233,0.250,11.375,NA,-0.125, 0.500,NA,0.375,10.875,NA,7.18800000,0.09818298,5.03250000,0.07614910,3.80450000,0.06049258,3.90500000,0.06673714,16.02500000, 0.23252461,"bison","Canthon_pilularius",1,0,0,0,0,27.67875,23.50024,NA
"23","bison_3",7,-0.89345403,-0.61173233,0.250,11.375,NA,-0.125, 0.500,NA,0.375,10.875,NA,3.11888889,0.05923747,2.84166667,0.09021126,1.91444444,0.05889629,1.89666667,0.04755458, 7.87500000, 0.17498506,"bison","Onthophagus_nuchicornis_male",1,0,0,0,0,27.67875,23.50024,NA
"24","bison_3",8,-2.02151081,-0.89345403,0.375,10.875,NA, 0.125,-0.500,NA,0.250,11.375,NA,7.11400000,0.07377182,4.94500000,0.06725478,3.81600000,0.04662425,3.99425000,0.05648336,15.87500000, 0.18164843,"bison","Canthon_pilularius",1,0,0,0,0,26.78142,26.76705,24.46742
"25","bison_3",8,-2.02151081,-0.89345403,0.375,10.875,NA, 0.125,-0.500,NA,0.250,11.375,NA,2.96750000,0.05851189,2.82875000,0.06780276,1.67083333,0.02945100,1.82875000,0.04402450, 7.46708333, 0.14919407,"bison","Onthophagus_nuchicornis_female",1,0,0,0,0,26.78142,26.76705,24.46742
"26","bison_3",8,-2.02151081,-0.89345403,0.375,10.875,NA, 0.125,-0.500,NA,0.250,11.375,NA,3.02312500,0.03118764,2.85375000,0.03180317,1.92968750,0.03837549,1.92031250,0.02978919, 7.80656250, 0.08390736,"bison","Onthophagus_nuchicornis_male",1,0,0,0,0,26.78142,26.76705,24.46742
"27","cattle_1",6, 0.33097208,NA,8.625,11.250,NA,NA,NA,NA,NA,NA,NA,3.19000000,0.09416298,3.26500000,0.11198958,1.78000000,0.09958246,2.06750000,0.07597971, 8.23500000, 0.26534569,"cattle","Onthophagus_nuchicornis_female",0,1,0,0,0,12.10063,NA,NA
"28","cattle_1",6, 0.33097208,NA,8.625,11.250,NA,NA,NA,NA,NA,NA,NA,3.61500000,0.12500000,3.24000000,0.37000000,2.23000000,0.11000000,2.16500000,0.37500000, 9.08500000, 0.60500000,"cattle","Onthophagus_nuchicornis_male",0,1,0,0,0,12.10063,NA,NA
"29","cattle_1",7,-0.57998475, 0.33097208,7.000, 7.625,NA,-1.625,-3.625,NA,8.625,11.250,NA,7.49525000,0.08598150,5.36350000,0.06501336,3.99450000,0.04800100,4.24600000,0.08975165,16.85325000, 0.18443830,"cattle","Canthon_pilularius",0,1,0,0,0,27.86467,23.31521,NA
"30","cattle_1",7,-0.57998475, 0.33097208,7.000, 7.625,NA,-1.625,-3.625,NA,8.625,11.250,NA,3.18777778,0.10762303,2.98666667,0.13815249,1.68333333,0.09669540,1.72444444,0.09705541, 7.85777778, 0.31495493,"cattle","Onthophagus_nuchicornis_female",0,1,0,0,0,27.86467,23.31521,NA
"31","cattle_1",7,-0.57998475, 0.33097208,7.000, 7.625,NA,-1.625,-3.625,NA,8.625,11.250,NA,3.23571429,0.13478125,2.84000000,0.13226957,1.89428571,0.11182165,1.81428571,0.10462762, 7.97000000, 0.30127507,"cattle","Onthophagus_nuchicornis_male",0,1,0,0,0,27.86467,23.31521,NA
"32","cattle_1",8,-0.90349521,-0.57998475,8.125, 9.250,NA, 1.125, 1.625,NA,7.000, 7.625,NA,3.03800000,0.07545860,2.91200000,0.09007774,1.80600000,0.05810336,1.97400000,0.08059777, 7.75600000, 0.17209300,"cattle","Onthophagus_nuchicornis_male",0,1,0,0,0,28.38283,27.63257,25.19227
"33","cattle_1",8,-0.90349521,-0.57998475,8.125, 9.250,NA, 1.125, 1.625,NA,7.000, 7.625,NA,2.44500000,0.11500000,2.03000000,0.27000000,1.48500000,0.00500000,1.41000000,0.27000000, 5.96000000, 0.39000000,"cattle","Onthophagus_nuchicornis_female",0,1,0,0,0,28.38283,27.63257,25.19227
"34","cattle_1",8,-0.90349521,-0.57998475,8.125, 9.250,NA, 1.125, 1.625,NA,7.000, 7.625,NA,7.31275000,0.07949922,5.18750000,0.06484671,3.88925000,0.05583330,4.05325000,0.05433442,16.38950000, 0.19558818,"cattle","Canthon_pilularius",0,1,0,0,0,28.38283,27.63257,25.19227
"35","cattle_2",6, 0.46624760,NA,0.875,12.375,NA,NA,NA,NA,NA,NA,NA,3.46500000,0.04500000,3.84000000,0.10000000,2.33000000,0.05000000,2.19500000,0.05500000, 9.63500000, 0.00500000,"cattle","Onthophagus_nuchicornis_female",0,1,0,0,0,12.83858,NA,NA
"36","cattle_2",6, 0.46624760,NA,0.875,12.375,NA,NA,NA,NA,NA,NA,NA,2.92000000,NA,2.82000000,NA,1.73000000,NA,1.70000000,NA, 7.47000000,NA,"cattle","Onthophagus_nuchicornis_male",0,1,0,0,0,12.83858,NA,NA
