"","code_spp","CanPil_ActDens_est","CanPil_ActDens_SE","Q5","Q95","Q10","Q90","Q20","Q80","trt","site","month"
"1","bison bison1_1 6",14.0483355366072,1.63724235076661,11.429087730962,16.6325473783895,12.0880328221527,16.0123154139264,12.8097129047034,15.3430027338888,"bison","bison1_1",6
"2","bison bison1_1 7",14.4021402355336,3.60308330789602,8.96922373565666,19.879398687907,10.2550919737816,18.6275608275205,11.540443634076,17.2561679981524,"bison","bison1_1",7
"3","bison bison1_1 8",19.0646178788741,7.83745735506894,8.09304352871814,33.0510099136967,10.8293495845011,28.3882872067899,13.703404461385,24.2006631886166,"bison","bison1_1",8
"4","bison bison1_2 6",18.8091405019171,4.80087324118221,10.8740471822444,26.4484993732246,11.6396636689587,24.6784475320585,14.8267945338162,22.6826573869148,"bison","bison1_2",6
"5","bison bison1_2 7",43.6859903085602,6.96642638546521,32.1779190161616,54.5451209054757,35.5869830474907,51.7265468985191,38.5447755156093,48.7635481255356,"bison","bison1_2",7
"6","bison bison1_2 8",65.0779901442891,13.0067133846525,47.6136052281969,84.7914404351158,47.6136052281969,80.4393035722963,48.5862106816371,76.0288386992128,"bison","bison1_2",8
"7","bison bison2_1 6",0.583623010666259,0.922236705427177,-1.46997055883701,1.91802705881487,-0.573564939411512,1.57854866795438,0.0404622517231347,1.2367941865109,"bison","bison2_1",6
"8","bison bison2_1 7",4.12729053342193,1.22074267157394,2.2061247228124,6.156003713223,2.62798111401242,5.64291039118797,3.12041090999382,5.09407722986963,"bison","bison2_1",7
"9","bison bison2_1 8",6.30092365898127,1.77214312279892,4.05756395517853,9.40318762251428,4.47750896287112,8.62894243987288,5.12071421494797,7.69936523824678,"bison","bison2_1",8
"10","bison bison2_2 6",21.3763387068306,5.39757729075404,12.8159009450595,30.1972865951858,15.0106603451644,27.7577933242231,17.3062322209541,25.5546989314588,"bison","bison2_2",6
"11","bison bison2_2 7",2.71860612216519,0.854694233236486,1.37859315402901,4.07610373900473,1.67847144769292,3.68968677687771,2.08885466236348,3.3355437221813,"bison","bison2_2",7
"12","bison bison2_2 8",8.23928109510422,1.1855028531389,6.33427525201907,10.2525338809875,6.80158906027432,9.69136160208437,7.3122313588498,9.15388398377842,"bison","bison2_2",8
"13","bison bison3_1 6",63.5539157620732,7.72728054294204,51.6590326433928,76.2645525894042,55.0273016447776,71.8950167852514,58.2079857980133,68.5147207439798,"bison","bison3_1",6
"14","bison bison3_1 7",85.5163857130296,6.41675380133422,73.9618431873342,96.1216146847598,77.6808075660107,93.7041783337395,80.6866280970192,90.5708753958437,"bison","bison3_1",7
"15","bison bison3_1 8",236.017503750136,41.8984839485002,167.167394549638,301.781351323064,185.688581228584,285.230783124243,203.867357446485,267.86568302489,"bison","bison3_1",8
"16","bison bison3_2 6",55.6475129121975,6.09555157071827,45.8580182324385,65.6607909229239,48.354484103729,62.8844910932106,51.0368313031437,60.3157048219439,"bison","bison3_2",6
"17","bison bison3_2 7",87.050581042432,10.1165102314129,70.213052323357,103.263230429723,75.3555996999196,99.5702859333541,79.7160367138531,94.6432682390974,"bison","bison3_2",7
"18","bison bison3_2 8",71.0253514036834,3.53816822397418,64.9968282481697,76.9604342187978,66.6791326292263,75.1952510342487,68.3156548283072,73.6642391111868,"bison","bison3_2",8
"19","cattle cattle1_1 6",-3.75199955824309e-05,0.00077634359151808,-0.000166321847708291,0.000193943554095628,-7.07773247105315e-05,8.94618035363894e-05,-2.46001401121389e-05,3.37013619616451e-05,"cattle","cattle1_1",6
"20","cattle cattle1_1 7",147.424129575965,7.39478591782774,136.3961581871,159.346712505924,138.799503057686,156.324832255598,141.590560479605,152.940672204479,"cattle","cattle1_1",7
"21","cattle cattle1_1 8",179.241342275914,20.1648011588196,148.265428046428,213.082550880337,155.272657795322,204.582942143568,166.547881058756,194.245208063886,"cattle","cattle1_1",8
"22","cattle cattle1_2 6",4.21638780701446,1.49546180000286,1.81153351417545,6.58799452207056,2.3927332187245,6.04249240152672,3.02254913255102,5.37252677446647,"cattle","cattle1_2",6
"23","cattle cattle1_2 7",297.01082124039,25.9214356967808,255.1833184577,339.546301579287,265.121777335679,328.110832641207,275.929160701438,316.861733906955,"cattle","cattle1_2",7
"24","cattle cattle1_2 8",210.771131327669,41.8146818538303,146.232252764788,289.804960632433,161.24837734664,262.434053415099,177.832850777587,241.084721856125,"cattle","cattle1_2",8
"25","cattle cattle2_1 6",3.33684778551527e-08,2.10590862968465e-05,-1.17171929829149e-05,1.22605036271121e-05,-5.36008913735935e-06,5.82483125435139e-06,-1.85193404893478e-06,2.3753611935511e-06,"cattle","cattle2_1",6
"26","cattle cattle2_1 7",19.8008260697047,3.15340218881802,14.8625210601212,25.3934705859105,15.9723208512397,23.7030483823845,17.295078243913,22.275407713247,"cattle","cattle2_1",7
"27","cattle cattle2_1 8",34.148448388274,7.50811562575346,22.0150956460196,46.1753863163901,25.3040616480589,43.5381614547701,28.2003936256435,40.0286378998817,"cattle","cattle2_1",8
"28","cattle cattle2_2 6",0.22291987773241,0.571570371275671,-0.636497751963911,1.20214977390084,-0.387565445634559,0.891204100226996,-0.176573633863521,0.597739147110643,"cattle","cattle2_2",6
"29","cattle cattle2_2 7",16.1196924936739,2.15556992580952,12.6870586623539,19.5508282094844,13.5579516140887,18.7896637249682,14.5768344363298,17.7655190729414,"cattle","cattle2_2",7
"30","cattle cattle2_2 8",22.4636050312964,5.54742651804112,15.3231612485933,33.1599405172299,16.7503952538304,27.9539272474368,18.5086429907919,25.1131607371978,"cattle","cattle2_2",8
"31","cattle cattle3_1 6",58.1588233927552,3.35568026539171,52.9699238836443,63.7964761124133,54.1578766732249,62.2371207996884,55.5461774387147,60.6419392568363,"cattle","cattle3_1",6
"32","cattle cattle3_1 7",61.2148691371829,2.84092738358526,56.579571870268,65.708618032435,57.7081938945087,64.6374323919195,58.9920077889309,63.3879447883454,"cattle","cattle3_1",7
"33","cattle cattle3_1 8",58.4585503064906,5.2874997513138,49.2054278637984,67.0927934812139,51.8816714296786,64.8247267783215,54.5601245632687,62.4837364585744,"cattle","cattle3_1",8
"34","cattle cattle3_2 6",72.1111178730596,1.67274713077012,69.3967767486116,74.7152929786022,70.0710250323895,74.1019178285797,70.8312056990788,73.4005122761911,"cattle","cattle3_2",6
"35","cattle cattle3_2 7",110.735498500213,11.0425624000355,93.2300261031167,129.068623229797,97.4697991096043,124.355602437726,101.972223451121,119.290974228323,"cattle","cattle3_2",7
"36","cattle cattle3_2 8",115.236353989751,10.4707814310952,98.3337771597243,132.675349932964,102.734150768555,128.066052664782,107.464392431679,123.360027357685,"cattle","cattle3_2",8
