"","spp","response","Estimate","Est.Error","Q5","Q95","Q10","Q90","Q20","Q80"
"Intercept","CP","BodySize","15.2700029368077","0.441441096393388","14.537596114684","15.9946362933772","14.699586905548","15.8300228588069","14.9015963085168","15.6357400758934"
"sTemp60day","CP","BodySize","0.0967123016431562","0.157028252051054","-0.165134485443973","0.353539464947602","-0.106201969751461","0.293759435695332","-0.0345979034086068","0.225247311662348"
"sgrass_PC_tm1","CP","BodySize","0.205770487630779","0.354365502378218","-0.389680676149955","0.791173042640755","-0.251068373428346","0.658892487906553","-0.0962782198527289","0.504575544437933"
"sbrowser_2MoPrior","CP","BodySize","0.122634361992614","0.131333586975447","-0.094625910038267","0.339496873714522","-0.0433015995518709","0.2882594889542","0.0123702123142591","0.230973813781428"
"spatty_2MoPrior","CP","BodySize","-0.202156437373923","0.147272321540369","-0.445374363984046","0.0422718718431128","-0.390777244893515","-0.0135200903454332","-0.325776958375892","-0.0777589528273016"
"sPD_2MoPrior","CP","BodySize","-2.48048208810853","1.35047205948683","-4.75119982777021","-0.307824871192608","-4.21163173951895","-0.743873533857379","-3.6061261558643","-1.33613046548364"
"CP_dens_tm2","CP","BodySize","0.000500705710317263","0.000951185458248349","-0.00106977449646788","0.00204169151300826","-0.000726571280453042","0.00170540515618221","-0.000291631343597459","0.00129415392196833"
"Intercept","onF","BodySize","7.41477430698429","0.977901203626509","5.81704616561438","9.02087776207769","6.1564884652225","8.67275345540551","6.58953549277443","8.23780640338389"
"sTemp60day","onF","BodySize","-0.0156334287389133","0.299105266439375","-0.51094782934099","0.481245442539818","-0.398602533509495","0.371661167665308","-0.264687578371714","0.241504255323061"
"sgrass_PC_tm1","onF","BodySize","0.17804540389494","0.392619415767019","-0.464973145158137","0.819188858579816","-0.316846439230858","0.68277633574216","-0.151857917628393","0.507117265079058"
"sbrowser_2MoPrior","onF","BodySize","-0.46676150373886","0.367309943957931","-1.07369178021386","0.137862578958456","-0.935215793787166","0.00684168001335095","-0.776938986897745","-0.157149554289317"
"spatty_2MoPrior","onF","BodySize","-0.270901381798865","0.211919850455487","-0.619854097077608","0.0767068319241396","-0.540042619208821","-0.000402225219809117","-0.446833149816237","-0.0939618864481141"
"sPD_2MoPrior","onF","BodySize","-0.908489016169176","2.27485239280109","-4.65541808749356","2.80807010015041","-3.8337910351183","1.99582176044016","-2.84007186051831","1.04475037362521"
"ON_dens_tm2","onF","BodySize","0.000244157370065971","0.00433439972635681","-0.00687617518392083","0.00750297249588771","-0.00529862502634514","0.0059040162542518","-0.00342281001537814","0.00386560901825885"
"Intercept","onM","BodySize","8.08948189603602","1.25502848466613","6.0199471853458","10.1702792456076","6.47541514597549","9.69234379044952","7.0369073735153","9.14143777148121"
"sTemp60day","onM","BodySize","0.0378267649390289","0.526648490758702","-0.842867684625132","0.886581244970993","-0.64745423460093","0.712998048699227","-0.407576088897892","0.479964978893397"
"sgrass_PC_tm1","onM","BodySize","-0.0752197257116113","0.496722503424898","-0.876174473549348","0.746665255368758","-0.721143281443314","0.56466957681096","-0.49899554250991","0.347490024757037"
"sbrowser_2MoPrior","onM","BodySize","-0.0304219745891284","0.267909121390047","-0.467381209348633","0.410621641052735","-0.36729678133118","0.315582021272817","-0.252036731823406","0.194911270061061"
"spatty_2MoPrior","onM","BodySize","-0.412406221359349","0.439091070613106","-1.13670692263677","0.298867223676653","-0.973920545354274","0.149486869539577","-0.782120682988096","-0.0434961789680085"
"sPD_2MoPrior","onM","BodySize","0.287698540829433","2.59267846958702","-4.02836217071324","4.48520007259435","-3.05155744649886","3.60392329621671","-1.89390079317321","2.48783230308061"
"ON_dens_tm2","onM","BodySize","-4.42284052529087e-05","0.00638681960965574","-0.0104027991236185","0.0104757166960242","-0.00812897550620955","0.0081774515027232","-0.00537135146993874","0.00540147388109464"
