"","spp","response","Estimate","Est.Error","Q5","Q95","Q10","Q90","Q20","Q80"
"Intercept","CP","BodySize","16.0908983074147","0.121860639295773","15.8910900078742","16.2822958173069","15.9446784656068","16.2364603530131","16.0009411636377","16.1861215927121"
"sbison_dens","CP","BodySize","-0.381813900846332","0.145039137732302","-0.602638719313274","-0.151496787546352","-0.54845124174429","-0.208270066372342","-0.490319676085632","-0.273413953173443"
"scattle_dens","CP","BodySize","-0.0997882366626216","0.107390513827414","-0.267410743413617","0.0726299751216178","-0.22696192806314","0.0305777951180695","-0.182216053442045","-0.0174044421758589"
"sPD_pres","CP","BodySize","-0.0761648078781104","0.135380483021992","-0.293504751015256","0.13269191773986","-0.237289518136163","0.0841416881513783","-0.177276258986177","0.0283521558159525"
"sCP_dens","CP","BodySize","0.00667969561738291","0.0813639621336658","-0.124512974035436","0.140472094948638","-0.0961718620999527","0.111311390311073","-0.0612787495798473","0.0739857172434192"
"Intercept","onF","BodySize","7.722855771687","0.0894727839799217","7.57882663143657","7.8671155998084","7.61354139001116","7.83436780715365","7.65132272249","7.79406824758289"
"sbison_dens","onF","BodySize","-0.00130335724914168","0.116353489525594","-0.195408031195046","0.180998276175341","-0.144760581128859","0.138138499458295","-0.0881718388324175","0.0901934013073445"
"scattle_dens","onF","BodySize","-0.0160750209209459","0.099274740931116","-0.181251573275125","0.140174112665961","-0.138737710454007","0.102995507774415","-0.0909240742408112","0.0609339025251066"
"sPD_pres","onF","BodySize","-0.0325460699877076","0.100748697067622","-0.200194994395259","0.123094085199069","-0.153575252416757","0.0854680082001755","-0.106576076134795","0.0451760948395335"
"sON_dens","onF","BodySize","0.0916432569025579","0.0502216319809091","0.00862387946633962","0.173328472758342","0.0266932882389265","0.15512653681122","0.0488247409337833","0.133517749516194"
"Intercept","onM","BodySize","7.92111388399462","0.123570754036031","7.72847470215771","8.12815953827052","7.77574250328568","8.07276986934471","7.82350600004167","8.01583766589394"
"sbison_dens","onM","BodySize","-0.0194703002345474","0.149807769569452","-0.267495529304226","0.206162763821929","-0.198455591456697","0.152248295563264","-0.12428182359893","0.0927930801111475"
"scattle_dens","onM","BodySize","-0.0746850409870611","0.129534003240003","-0.291010783488001","0.123336435461469","-0.232703608977795","0.0782738325348884","-0.173108118382807","0.0259008058458513"
"sPD_pres","onM","BodySize","-0.139613911930081","0.129400555452258","-0.34077170914816","0.0706323285036235","-0.291421817173376","0.0141392734169807","-0.23792721754365","-0.044671337259812"
"sON_dens","onM","BodySize","0.104093758342712","0.06468306587348","-0.00291775435318851","0.208359296973534","0.0198680267356299","0.186695950771171","0.0499552085476639","0.158666854797904"
