code,trt,site,yr,mo,day,plot,browser_100m2,patty_100m2,PD_1m2,browser_minusLastMo,patty_minusLastMo,PD_minusLastMo,browser_lastMo,patty_lastMo,PD_lastMo,browser_2MoPrior,patty_2MoPrior,PD_2MoPrior
trtpd_1-6,trtpd,trtpd_1,2022,6,16,5,0,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_1-6,trtpd,trtpd_1,2022,6,16,6,0,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_1-6,trtpd,trtpd_1,2022,6,16,7,0,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_1-6,trtpd,trtpd_1,2022,6,16,8,0,9,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_2-6,trtpd,trtpd_2,2022,6,9,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_2-6,trtpd,trtpd_2,2022,6,9,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_2-6,trtpd,trtpd_2,2022,6,9,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_2-6,trtpd,trtpd_2,2022,6,9,4,0,0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_2-6,trtpd,trtpd_2,2022,6,9,5,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_2-6,trtpd,trtpd_2,2022,6,9,6,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_2-6,trtpd,trtpd_2,2022,6,9,7,0,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_2-6,trtpd,trtpd_2,2022,6,9,8,0,1,112,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_3-6,trtpd,trtpd_3,2022,6,16,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_3-6,trtpd,trtpd_3,2022,6,16,2,0,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_3-6,trtpd,trtpd_3,2022,6,16,3,0,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_3-6,trtpd,trtpd_3,2022,6,16,4,0,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_3-6,trtpd,trtpd_3,2022,6,16,5,0,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_3-6,trtpd,trtpd_3,2022,6,16,6,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_3-6,trtpd,trtpd_3,2022,6,16,7,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
trtpd_3-6,trtpd,trtpd_3,2022,6,16,8,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_1-6,ungrazed,ungrazed_1,2022,6,9,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_1-6,ungrazed,ungrazed_1,2022,6,9,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_1-6,ungrazed,ungrazed_1,2022,6,9,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_1-6,ungrazed,ungrazed_1,2022,6,9,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_1-6,ungrazed,ungrazed_1,2022,6,9,5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_1-6,ungrazed,ungrazed_1,2022,6,9,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_1-6,ungrazed,ungrazed_1,2022,6,9,7,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_1-6,ungrazed,ungrazed_1,2022,6,9,8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_2-6,ungrazed,ungrazed_2,2022,6,16,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_2-6,ungrazed,ungrazed_2,2022,6,16,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_2-6,ungrazed,ungrazed_2,2022,6,16,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_2-6,ungrazed,ungrazed_2,2022,6,16,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_2-6,ungrazed,ungrazed_2,2022,6,16,5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_2-6,ungrazed,ungrazed_2,2022,6,16,6,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_2-6,ungrazed,ungrazed_2,2022,6,16,7,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_2-6,ungrazed,ungrazed_2,2022,6,16,8,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_3-6,ungrazed,ungrazed_3,2022,6,17,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_3-6,ungrazed,ungrazed_3,2022,6,17,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_3-6,ungrazed,ungrazed_3,2022,6,17,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_3-6,ungrazed,ungrazed_3,2022,6,17,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_3-6,ungrazed,ungrazed_3,2022,6,17,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_3-6,ungrazed,ungrazed_3,2022,6,17,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_3-6,ungrazed,ungrazed_3,2022,6,17,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ungrazed_3-6,ungrazed,ungrazed_3,2022,6,17,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_1-6,untrtpd,untrtpd_1,2022,6,10,1,1,5,134,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_1-6,untrtpd,untrtpd_1,2022,6,10,2,0,6,115,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_1-6,untrtpd,untrtpd_1,2022,6,10,3,0,7,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
